,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,zone,date
49,0,0,0,0,13,12,0,0,153,0,0,0,ES-CN-FVLZ,2024-05-18T18:00:00.000Z
50,0,0,0,0,45,20,0,0,313,0,0,0,ES-CN-GC,2024-05-18T18:00:00.000Z
51,0,0,0,0,1,0,0,0,5,0,1,0,ES-CN-HI,2024-05-18T18:00:00.000Z
52,0,0,0,0,0,0,0,0,7,0,0,0,ES-CN-IG,2024-05-18T18:00:00.000Z
53,0,0,0,0,0,1,0,0,29,0,0,0,ES-CN-LP,2024-05-18T18:00:00.000Z
54,0,0,0,0,2,12,0,0,402,0,0,0,ES-CN-TE,2024-05-18T18:00:00.000Z
55,0,0,0,0,0,2,0,5,0,0,0,0,ES-IB-FO,2024-05-18T18:00:00.000Z
56,5,0,7,1,4,19,4,87,0,1,0,0,ES-IB-IZ,2024-05-18T18:00:00.000Z
57,26,0,44,6,22,97,21,323,0,6,0,0,ES-IB-MA,2024-05-18T18:00:00.000Z
58,1,0,1,0,2,18,1,8,35,0,0,0,ES-IB-ME,2024-05-18T18:00:00.000Z
59,0,0,2,0,0,0,0,0,22,0,0,0,ES-ML,2024-05-18T18:00:00.000Z
60,2966,0,509,82,3002,273,1383,68,0,6,0,0,FI,2024-05-18T18:00:00.000Z
61,0,0,1,0,3,0,2,0,42,0,0,0,FO,2024-05-18T18:00:00.000Z
62,0,0,1,0,3,0,2,0,39,0,0,0,FO-MI,2024-05-18T18:00:00.000Z
63,0,0,0,0,0,0,0,0,3,0,0,0,FO-SI,2024-05-18T18:00:00.000Z
64,31168,0,510,13,1347,3842,7568,562,110,3,0,0,FR,2024-05-18T18:00:00.000Z
65,0,0,0,0,5,15,112,118,72,0,0,3,FR-COR,2024-05-18T18:00:00.000Z
66,6467,0,1787,17,4241,3061,1207,10396,4,737,17,0,GB,2024-05-18T18:00:00.000Z
67,80,0,80,0,232,36,20,700,2,9,0,0,GB-NIR,2024-05-18T18:00:00.000Z
68,0,0,0,0,0,0,0,0,0,16,0,0,GB-ORK,2024-05-18T18:00:00.000Z
69,0,0,0,0,7,0,2198,0,0,0,0,0,GE,2024-05-18T18:00:00.000Z
70,0,0,0,47,370,0,784,2619,0,0,652,0,GR,2024-05-18T18:00:00.000Z
71,0,35,56,756,3,64,347,15,337,226,0,0,GT,2024-05-18T17:00:00.000Z
72,1481,0,0,1269,0,0,0,2538,0,0,0,0,HK,2024-05-18T18:00:00.000Z
